"","County","County.Code","Delivery.Method","Delivery.Method.Code","Births","Longitude","Latitude"
"617","Jasper County MO",29097,"Cesarean",2,517,-94.356513,37.1745565
"618","Jefferson County MO",29099,"Vaginal",1,1650,-90.5257823,38.2310301
"619","Jefferson County MO",29099,"Cesarean",2,984,-90.5257823,38.2310301
"620","St. Charles County MO",29183,"Vaginal",1,3045,-90.8294002,38.7338885
"621","St. Charles County MO",29183,"Cesarean",2,1488,-90.8294002,38.7338885
"622","St. Charles County MO",29183,"Not Stated",9,16,-90.8294002,38.7338885
"623","St. Louis County MO",29189,"Vaginal",1,7523,-90.4125181,38.6103023
"624","St. Louis County MO",29189,"Cesarean",2,3941,-90.4125181,38.6103023
"625","St. Louis County MO",29189,"Not Stated",9,60,-90.4125181,38.6103023
"626","St. Louis city MO",29510,"Vaginal",1,3228,-90.1994042,38.6270025
"627","St. Louis city MO",29510,"Cesarean",2,1466,-90.1994042,38.6270025
"628","Unidentified Counties MO",29999,"Vaginal",1,22196,-91.8318334,37.9642529
"629","Unidentified Counties MO",29999,"Cesarean",2,9655,-91.8318334,37.9642529
"630","Unidentified Counties MO",29999,"Not Stated",9,140,-91.8318334,37.9642529
"631","Yellowstone County MT",30111,"Vaginal",1,1386,-108.4343805,45.7856577
"632","Yellowstone County MT",30111,"Cesarean",2,548,-108.4343805,45.7856577
"635","Douglas County NE",31055,"Vaginal",1,5921,-96.195132,41.3148116
"636","Douglas County NE",31055,"Cesarean",2,2450,-96.195132,41.3148116
"637","Lancaster County NE",31109,"Vaginal",1,2800,-96.663812,40.8471492
"638","Lancaster County NE",31109,"Cesarean",2,1231,-96.663812,40.8471492
"639","Sarpy County NE",31153,"Vaginal",1,1829,-96.195132,41.0744042
"640","Sarpy County NE",31153,"Cesarean",2,710,-96.195132,41.0744042
"643","Clark County NV",32003,"Vaginal",1,16480,-115.094045,36.0795613
"644","Clark County NV",32003,"Cesarean",2,9557,-115.094045,36.0795613
"645","Washoe County NV",32031,"Vaginal",1,3710,-119.6035495,40.5608387
"646","Washoe County NV",32031,"Cesarean",2,1620,-119.6035495,40.5608387
"647","Unidentified Counties NV",32999,"Vaginal",1,2606,-116.419389,38.8026097
"648","Unidentified Counties NV",32999,"Cesarean",2,1057,-116.419389,38.8026097
"649","Hillsborough County NH",33011,"Vaginal",1,2941,-71.6673352,42.8334794
"650","Hillsborough County NH",33011,"Cesarean",2,1305,-71.6673352,42.8334794
"651","Merrimack County NH",33013,"Vaginal",1,923,-71.6673352,43.2844846
"652","Merrimack County NH",33013,"Cesarean",2,417,-71.6673352,43.2844846
"653","Rockingham County NH",33015,"Vaginal",1,1752,-71.0497768,42.9931261
"654","Rockingham County NH",33015,"Cesarean",2,852,-71.0497768,42.9931261
